Fuel,Date,CCM,Horse_power,KW,Kms_run,Price,Name
Dízel,2013/2,2 143 cm³,170 LE,125 kW,214 393 km,3 190 000,MERCEDES-BENZ C 220 CDI BlueEFFICIENCY Classic Leinformálható!!
Dízel,2011/1,2 143 cm³,170 LE,125 kW,288 000 km,3 190 000,MERCEDES-BENZ C 220 T CDI BlueEFFICIENCY Elegance
Dízel,2011/3,2 143 cm³,170 LE,125 kW,179 000 km,3 200 000,MERCEDES-BENZ C 220 T CDI BlueEFFICIENCY Avantgarde
Dízel,2008/3,2 148 cm³,170 LE,125 kW,178 000 km,3 290 000,MERCEDES-BENZ C 220 CDI Elegance SZERVIZKÖNYV+SZERVIZSZÁMLÁK!
Dízel,2011/5,2 143 cm³,170 LE,125 kW,141 000 km,3 299 999,MERCEDES-BENZ C 220 CDI BlueEFFICIENCY Avantgarde (Automata)
Dízel,2007/10,2 148 cm³,170 LE,125 kW,74 000 km,3 100 000,MERCEDES-BENZ C 220 CDI Elegance (Automata) 74.000 km!!!!!! Szervizkönyv!!!!!!! Új Állapot
Dízel,2009/5,2 148 cm³,170 LE,125 kW,139 000 km,3 300 000,MERCEDES-BENZ C 220 CDI Elegance Garantált KM!!
Dízel,2011/8,2 143 cm³,170 LE,125 kW,264 321 km,3 339 000,MERCEDES-BENZ C 220 T CDI BlueEFFICIENCY Avantgarde Elsö gazdis
Dízel,2013/3,2 143 cm³,170 LE,125 kW,270 000 km,3 390 000,MERCEDES-BENZ C 220 CDI BlueEFFICIENCY Elegance
Dízel,2011/11,2 143 cm³,170 LE,125 kW,220 000 km,3 390 000,MERCEDES-BENZ C 220 T CDI BlueEFFICIENCY Avantgarde 220E KM/ NAVI / ÜLÉSFŰTÉS / TEMPOMAT
Dízel,2011/11,2 143 cm³,170 LE,125 kW,254 000 km,3 490 000,MERCEDES-BENZ C 220 CDI BlueEFFICIENCY Elegance (Automata) NAVIGÁCIÓ-PARKRADAR!!!
Dízel,2013/5,2 143 cm³,163 LE,120 kW,178 255 km,3 490 000,MERCEDES-BENZ C 220 T CDI BlueEFFICIENCY Avantgarde Friss műszaki
Dízel,2008/8,2 148 cm³,170 LE,125 kW,124 000 km,3 500 000,MERCEDES-BENZ C 220 CDI Avantgarde (Automata) Vez.szerv.könyv. gyári fény. 120 e km HK. konyak bőr nagy command
Dízel,2013/3,2 143 cm³,170 LE,125 kW,198 000 km,3 590 000,MERCEDES-BENZ C 220 CDI BlueEFFICIENCY Elegance (Automata) Végig szakszervizben szervizel
Dízel,2011/4,2 143 cm³,170 LE,125 kW,264 000 km,3 590 000,MERCEDES-BENZ C 220 T CDI BlueEFFICIENCY Avantgarde (Automata)
Dízel,2011/6,2 143 cm³,170 LE,125 kW,183 000 km,3 599 000,MERCEDES-BENZ C 220 CDI BlueEFFICIENCY Avantgarde (Automata) AMG! NAVI.BŐR.SÉRMENTES!
Dízel,2010/11,2 143 cm³,170 LE,125 kW,160 000 km,3 599 999,MERCEDES-BENZ C 220 CDI BlueEFFICIENCY Avantgarde (Automata)
Dízel,2011/2,2 143 cm³,170 LE,125 kW,109 000 km,3 690 000,MERCEDES-BENZ C 220 T CDI BlueEFFICIENCY Avantgarde (Automata) 109 E KM/NAVI/RADAR/TETŐ/ALU/XENON/FÉLBŐR
Dízel,2008/3,2 148 cm³,170 LE,125 kW,84 000 km,3 790 000,MERCEDES-BENZ C 220 T CDI Avantgarde (Automata)
Dízel,2011/5,2 143 cm³,170 LE,125 kW,266 000 km,3 790 000,MERCEDES-BENZ C 220 CDI BlueEFFICIENCY Avantgarde (Automata) BŐR. XENON. NAVI
Dízel,2013/2,2 143 cm³,170 LE,125 kW,228 143 km,3 799 000,MERCEDES-BENZ C 220 T CDI BlueEFFICIENCY Avantgarde (Automata) NAVI
Dízel,2013/10,2 143 cm³,170 LE,125 kW,316 674 km,3 800 000,MERCEDES-BENZ C 220 CDI BlueEFFICIENCY Avantgarde
Dízel,2011/7,2 143 cm³,170 LE,125 kW,193 200 km,3 848 000,MERCEDES-BENZ C 220 T CDI BlueEFFICIENCY Avantgarde
Dízel,2011/10,2 143 cm³,170 LE,125 kW,225 782 km,3 850 000,MERCEDES-BENZ C 220 CDI BlueEFFICIENCY Avantgarde (Automata)
Dízel,2013/11,2 143 cm³,170 LE,125 kW,217 400 km,3 890 000,MERCEDES-BENZ C 220 T CDI 4Matic BlueEFFICIENCY Elegance (Automata)
Dízel,2012/5,2 143 cm³,170 LE,125 kW,229 000 km,3 950 000,MERCEDES-BENZ C 220 CDI BlueEFFICIENCY Avantgarde (Automata)
Dízel,2013/2,2 143 cm³,170 LE,125 kW,208 000 km,3 990 000,MERCEDES-BENZ C 220 CDI BlueEFFICIENCY
Dízel,2012/7,2 143 cm³,170 LE,125 kW,270 000 km,3 990 000,MERCEDES-BENZ C 220 CDI BlueEFFICIENCY Elegance (Automata)
Dízel,2011/11,2 143 cm³,170 LE,125 kW,179 000 km,3 990 000,MERCEDES-BENZ C 220 CDI BlueEFFICIENCY Elegance (Automata) NAVI.XENON.AUTÓMATA.SÉRÜLÉSMENTES.MEGKÍMÉLT!!!!
Dízel,2011/10,2 143 cm³,170 LE,125 kW,3 km,3 990 000,MERCEDES-BENZ C 220 T CDI BlueEFFICIENCY Avantgarde AMG PLUS-HARMAN KARDON
Dízel,2012/1,2 143 cm³,170 LE,125 kW,129 000 km,3 999 000,MERCEDES-BENZ C 220 CDI BlueEFFICIENCY Avantgarde (Automata)
Dízel,2014/1,2 143 cm³,170 LE,125 kW,239 000 km,3 999 999,MERCEDES-BENZ C 220 T CDI BlueEFFICIENCY Avantgarde (Automata)
Dízel,2013/11,2 143 cm³,136 LE,100 kW,189 000 km,3 999 999,MERCEDES-BENZ C 220 T CDI BlueEFFICIENCY Elegance (Automata) Navigáció!Kifogástalan!
Dízel,2012,2 143 cm³,170 LE,125 kW,83 000 km,4 190 000,MERCEDES-BENZ C 220 T CDI BlueEFFICIENCY Elegance
Dízel,2012/5,2 143 cm³,170 LE,125 kW,234 000 km,4 190 000,MERCEDES-BENZ C 220 CDI BlueEFFICIENCY (Automata)
Dízel,2013/12,2 143 cm³,170 LE,125 kW,173 854 km,4 199 000,MERCEDES-BENZ C 220 CDI BlueEFFICIENCY
Dízel,2011/9,2 143 cm³,170 LE,125 kW,104 789 km,4 200 000,MERCEDES-BENZ C 220 CDI BlueEFFICIENCY Avantgarde (Automata)
Dízel,2013/3,2 143 cm³,170 LE,125 kW,149 100 km,4 290 000,MERCEDES-BENZ C 220 T CDI BlueEFFICIENCY Avantgarde (Automata)
Dízel,2013/5,2 143 cm³,170 LE,125 kW,116 000 km,4 400 000,MERCEDES-BENZ C 220 T CDI BlueEFFICIENCY Avantgarde
Dízel,2013/7,2 143 cm³,170 LE,125 kW,69 326 km,4 444 444,MERCEDES-BENZ C 220 CDI BlueEFFICIENCY Avantgarde (Automata) Mo-i - CSUPÁN 69e km - ELEKTRONIKUSAN LEINFORMÁLHATÓ!!!
Dízel,2013/7,2 143 cm³,170 LE,125 kW,167 350 km,4 450 000,MERCEDES-BENZ C 220 CDI BlueEFFICIENCY Classic
Dízel,2015/5,2 143 cm³,170 LE,125 kW,202 300 km,4 490 000,MERCEDES-BENZ C 220 T BlueTEC d
Dízel,2013/4,2 143 cm³,170 LE,125 kW,191 000 km,4 499 000,MERCEDES-BENZ C 220 T CDI BlueEFFICIENCY Avantgarde (Automata) GYÁRI FÉNY!SZERV.KÖNYV!
Dízel,2013/3,2 143 cm³,170 LE,125 kW,201 000 km,4 500 000,MERCEDES-BENZ C 220 CDI BlueEFFICIENCY Elegance (Automata)
Dízel,2014/2,2 143 cm³,170 LE,125 kW,149 000 km,4 550 000,MERCEDES-BENZ C 220 T CDI BlueEFFICIENCY Avantgarde (Automata)
Dízel,2015,2 143 cm³,170 LE,125 kW,210 000 km,4 650 000,MERCEDES-BENZ C 220 T BlueTEC/d 7G-TRONIC NAVIGÁCIÓ SPORT PACKET
Dízel,2014/11,2 143 cm³,170 LE,125 kW,182 000 km,4 490 000,MERCEDES-BENZ C 220 T BlueTEC d 19 AMG+gyári téli.magánszemélytől
Dízel,2015/5,2 143 cm³,170 LE,125 kW,205 000 km,4 690 000,MERCEDES-BENZ C 220 T BlueTEC d Panoráma.NAVI.LED.Sportbelső
Dízel,2012/11,2 143 cm³,170 LE,125 kW,150 000 km,4 698 000,MERCEDES-BENZ C 220 CDI BlueEFFICIENCY (Automata) AMG
Dízel,2013/10,2 143 cm³,170 LE,125 kW,106 354 km,4 699 000,MERCEDES-BENZ C 220 T CDI BlueEFFICIENCY Elegance
Dízel,2013/12,2 143 cm³,170 LE,125 kW,104 900 km,4 699 900,MERCEDES-BENZ C 220 CDI BlueEFFICIENCY FACELIFT-ES
Dízel,2015/5,2 143 cm³,170 LE,125 kW,306 000 km,4 750 000,MERCEDES-BENZ C 220 T BlueTEC/d 7G-TRONIC BŐR LED F1
Dízel,2015/1,2 143 cm³,170 LE,125 kW,229 444 km,4 799 000,MERCEDES-BENZ C 220 T BlueTEC d sérülésmentes. szervizkönyves
Dízel,2013/3,2 143 cm³,170 LE,125 kW,150 500 km,4 800 000,MERCEDES-BENZ C 220 T CDI BlueEFFICIENCY Avantgarde (Automata)
Dízel,2013/9,2 143 cm³,170 LE,125 kW,111 000 km,4 990 000,MERCEDES-BENZ C 220 T CDI BlueEFFICIENCY Avantgarde (Automata)
Dízel,2014/1,2 143 cm³,170 LE,125 kW,83 500 km,4 990 000,MERCEDES-BENZ C 220 T CDI BlueEFFICIENCY Avantgarde 85E.KM!! GYÁRI ÁLLAPOT!
